ratio_id,ratio_name,category,status,nan_count,zero_denom_count,neg_denom_count,min,p1,median,p99,max
R001,매출총이익률,수익성,calculated,526,2,49,-1.4153291287435326,-0.1651177401371719,0.17106717924943454,1.0,1.0
R002,영업이익률,수익성,calculated,526,2,49,-30.307276521016654,-1.1582393042357897,0.04048470579405093,0.5111250790632003,1.080320002910449
R003,정상영업이익률,수익성,calculated,526,2,49,-30.307276521016654,-1.1582393042357897,0.04048470579405093,0.5111250790632003,1.080320002910449
R004,EBIT마진,수익성,calculated,526,2,49,-30.307276521016654,-1.1582393042357897,0.04048470579405093,0.5111250790632003,1.080320002910449
R005,EBITDA마진,수익성,calculated,526,2,49,-28.861347671739868,-1.1094353691363097,0.04858272428177518,0.539567794234658,1.1868608588092107
R006,세전이익률,수익성,calculated,526,2,49,-45.54172860842799,-2.6882660584194036,0.038111710379521505,0.8097013652372769,7.491490396669424
R007,순이익률,수익성,calculated,526,2,49,-126.29902918297762,-2.939244444164712,0.03189053045121625,0.815009579792003,625.4859877624498
R008,계속사업이익률,수익성,calculated,241,2,49,-213.64318977448505,-4.967982033530392,0.03396293277865148,1.467222103380841,103.63349736918977
R009,총포괄이익률,수익성,calculated,526,2,49,-127.85173314623911,-2.803724617223609,0.03134593743233778,0.933832400574254,625.7563029660262
R010,영업현금흐름마진,수익성,calculated,526,2,49,-122.61896295587606,-1.0408982458539948,0.05398479782583193,0.5776083768360667,63.58184369913799
R012,매출총이익/총자산,수익성,calculated,608,0,0,-0.42578723107058025,-0.0648716574613161,0.12599273999188118,0.9060683538146601,1.794734595821526
R013,영업이익/총자산,수익성,calculated,608,0,0,-0.7391082582692828,-0.22869568792556647,0.03178915612580216,0.23042405298165045,0.7786424169580558
R014,EBIT/총자산,수익성,calculated,608,0,0,-0.7391082582692828,-0.22869568792556647,0.03178915612580216,0.23042405298165045,0.7786424169580558
R015,EBITDA/총자산,수익성,calculated,608,0,0,-0.7167135418408184,-0.2176265109957233,0.03684542696865931,0.2452523705091736,0.7820792351091767
R016,세전이익/총자산,수익성,calculated,608,0,0,-2.7176596559556745,-0.4805574693335035,0.031214599078393593,0.2751444604566786,0.9052466346560815
R017,당기순이익/총자산(ROA),수익성,calculated,608,0,0,-2.822606278991671,-0.49649931828556176,0.026814247443799323,0.24604545588371363,2.9144216941499264
R018,총포괄이익/총자산,수익성,calculated,608,0,0,-2.7764862601439546,-0.4977703729495203,0.026675414934449172,0.25663720656862066,2.915681214761059
R019,영업현금흐름/총자산,수익성,calculated,608,0,0,-0.5296051232915074,-0.22376915412387968,0.04295692883888692,0.28991607742093845,0.8434671239752953
R021,영업이익/자기자본,수익성,calculated,608,0,21,-76.7557946510913,-0.681020868818609,0.05561018782175038,0.5272020215769208,20.787758388953858
R022,당기순이익/자기자본(ROE),수익성,calculated,608,0,21,-154.6605091694732,-1.5037451831584119,0.044864758748028824,0.5148590791885658,31.225726859340252
R023,총포괄이익/자기자본,수익성,calculated,608,0,21,-154.62292619708137,-1.4991630893336265,0.04498415466811882,0.5816659907073058,31.67545921224578
R031,현금이익전환율,수익성,calculated,524,0,1268,-1163.9644856822908,-24.609017431449463,0.8548087277712133,23.047356791830794,181.89671074563842
R032,영업현금흐름/영업이익,수익성,calculated,524,0,1029,-1729.8440425372576,-18.358755570031253,0.9401245184205653,26.639187775004288,278.98636580984504
R033,EBITDA 대비 OCF,수익성,calculated,525,1,943,-1962.4711538461538,-18.691424467330854,0.8999358707514373,14.98563498804597,429.4627754615843
R043,부채비율,안정성,calculated,524,0,28,-495.03997543888994,0.015019880524943508,0.6256462098225337,7.991934820105927,257.29759700143705
R044,총부채/총자산,안정성,calculated,524,0,0,0.0012191843348597269,0.031885094537484365,0.38908943842602517,0.9492825281760486,6.322056536453994
R045,자기자본비율,안정성,calculated,524,0,0,-5.322056482980907,0.05071747002875847,0.6109105615739748,0.9681148964364198,0.998780818181901
R046,차입금의존도,안정성,calculated,524,0,0,0.0,0.0,0.1348435609301598,0.6139050914229103,2.525372338457267
R047,순차입금의존도,안정성,calculated,524,0,0,-0.7964908533922324,-0.44457674620311866,0.05000379503005488,0.5761121970158667,2.52506727449169
R048,유이자부채/총자산,안정성,calculated,524,0,0,0.0,0.0,0.10992313796713948,0.5268181899077375,1.6639118579566565
R049,금융부채/총부채,안정성,calculated,524,0,0,0.0,0.0,0.3054520116220394,0.86586538692522,1.1625610049735355
R050,총차입금/자기자본,안정성,calculated,524,0,28,-322.030992576028,0.0,0.21278084644716916,3.9426447346904476,144.93559163839464
R051,순차입금/자기자본,안정성,calculated,524,0,28,-311.498823085711,-0.8217712324481519,0.07454866108179543,3.532204066663902,136.8470940310227
R052,유이자부채/자기자본,안정성,calculated,524,0,28,-318.3929900885992,0.0,0.17366471726962868,3.2334234966370627,105.13479458954947
R053,유동부채비율,안정성,calculated,524,0,28,-213.9163249756038,0.004987077013212993,0.4382863203923104,5.516170375151156,177.00080741936918
R054,비유동부채비율,안정성,calculated,524,0,28,-281.1236504632861,0.0,0.10585980335637182,2.7564136034680606,80.29678958206789
R055,유동부채/총부채,안정성,calculated,524,0,0,0.0003393820162014078,0.2088862723148844,0.8074735334135072,0.998993747980727,1.0648065878930104
R056,비유동부채/총부채,안정성,calculated,524,0,0,-0.06480658789301047,0.0010062517442490976,0.19223726284259554,0.7843962391045664,0.9996606179837986
R057,단기차입금비중,안정성,calculated,1334,1334,0,0.0,0.0,0.5202232466345058,1.0,1.0
R058,장기차입금비중,안정성,calculated,1334,1334,0,0.0,0.0,0.09569648281504292,1.0,1.0
R059,단기금융부채/총자산,안정성,calculated,524,0,0,0.0,0.0,0.07771951147191396,0.46941608088241843,2.525372338457267
R060,장기금융부채/총자산,안정성,calculated,524,0,0,0.0,0.0,0.012900627022669607,0.3900892565013064,0.8722262211689795
R061,순차입금/총차입금,안정성,calculated,1334,1334,0,-40225.543,-338.51964340127824,0.6544022445317785,0.9986194926814965,0.999999146012807
R063,유보율,안정성,calculated,524,0,0,-68.35690690121774,-9.907334360114712,4.55493393768818,96.68826520786477,398.6864199748518
R064,이익잉여금/총자산,안정성,calculated,524,0,0,-46.38391016144217,-1.808320827397141,0.27720898578345327,0.9708108439903155,6.056755482163729
R065,이익잉여금/자기자본,안정성,calculated,524,0,28,-299.6783878279678,-5.104974906264353,0.50978129575152,1.6454204153470804,187.92770497882222
R067,자본금/총자산,안정성,calculated,524,0,0,0.0014600936141054,0.005692696525165472,0.06146542803452962,0.6754548349672262,7.964453826239837
R071,비유동비율,안정성,calculated,524,0,28,-281.6637573367654,0.08141704668665595,0.8616201093065341,5.266352973274161,139.8982577519667
R076,순운전자본/총자산,안정성,calculated,524,0,0,-6.0338722065926325,-0.4445553761959634,0.1714604575239353,0.756739592094916,0.9999521077273926
R077,운전자본/매출액,안정성,calculated,526,2,49,-529.3597098976562,-1.7609773960228519,0.2089473302904486,4.115144021562931,135.6611418482571
R079,이자보상배율,부채상환능력,calculated,608,84,1,-59867.95,-39.64196187138337,2.0089086988847455,1319.0232125695156,1714863.0
R080,EBIT 이자보상배율,부채상환능력,calculated,608,84,1,-59867.95,-39.64196187138337,2.0089086988847455,1319.0232125695156,1714863.0
R081,EBITDA 이자보상배율,부채상환능력,calculated,608,84,1,-54853.7,-37.979565721886594,2.537413197505643,1370.25572880578,2248771.0
R082,세전이익 이자보상배율,부채상환능력,calculated,608,84,1,-45144.825,-44.64097893092532,2.1277700583671955,2021.6557732324534,1012680.0
R083,OCF 이자보상배율,부채상환능력,calculated,608,84,1,-737754.0,-77.21814374498749,2.547981862421602,1303.097962705088,1308659.5
R085,금융비용부담률,부채상환능력,calculated,526,2,49,-0.023941735465069277,0.0,0.017376653120522084,0.9854935883876521,22.411216617368403
R086,이자비용/매출액,부채상환능력,calculated,526,2,49,-0.023941735465069277,0.0,0.017376653120522084,0.9854935883876521,22.411216617368403
R087,이자비용/영업이익,부채상환능력,calculated,524,0,1029,-9160.676288659793,-7.179429213526267,0.1252788984706552,13.661096756798475,759.7206866002778
R088,이자비용/EBITDA,부채상환능력,calculated,525,1,943,-298.48154593387187,-8.729499457469577,0.12293823225030887,10.704874985996744,613.0824598183088
R089,금융비용/EBITDA,부채상환능력,calculated,525,1,943,-298.48154593387187,-8.729499457469577,0.12293823225030887,10.704874985996744,613.0824598183088
R090,금융비용/영업현금흐름,부채상환능력,calculated,524,0,1223,-21760.92175066313,-13.522309369410198,0.07246491137311094,11.270012956083201,4116.2055002763955
R091,OCF/총부채,부채상환능력,calculated,524,0,0,-7.440281649691396,-0.9079424439799185,0.1107320007085956,2.003076056473256,29.497027529953023
R092,OCF/총차입금,부채상환능력,calculated,1334,1334,0,-805.792934347478,-11.33517050633293,0.18760097618385216,165.01951801711866,62278.8719
R093,OCF/순차입금,부채상환능력,calculated,524,524,1862,-1062.6922275606114,-19.90318147554293,-0.030932830018855603,13.188248749424748,1734.7776627925489
R094,OCF/유동부채,부채상환능력,calculated,524,0,0,-24.483182173519015,-1.2434601759951558,0.15043697797447905,3.0187969223818856,49.08166108847426
R095,OCF/단기차입금,부채상환능력,calculated,1873,1349,0,-4333.626865671642,-9.903338640238797,0.3098842222222222,207.78943434099153,10809.435
R099,EBITDA/총차입금,부채상환능력,calculated,1334,1334,0,-3409.555,-6.375019648375115,0.17329692529670226,133.52117867370023,51417.182
R100,EBITDA/순차입금,부채상환능력,calculated,524,524,1862,-943.4368219464568,-17.71346890184289,0.00868071459549926,11.527435312571159,1191.8919758000318
R101,총차입금/EBITDA,부채상환능력,calculated,525,1,943,-2458.884256501886,-50.907333345243536,0.7633358868736215,79.52463778108475,749.7433804362738
R102,순차입금/EBITDA,부채상환능력,calculated,525,1,943,-2372.620408973595,-57.62454474093764,0.04847043729416778,78.05576664400671,876.4802297903121
R103,총부채/EBITDA,부채상환능력,calculated,525,1,943,-7748.289060948978,-105.42530814614375,4.806570979043623,144.82782580856266,2132.377874115129
R104,순차입금/OCF,부채상환능력,calculated,524,0,1223,-7647.182471264367,-107.4924623928698,-0.15137207741012831,73.19850433902923,33348.618988391376
R105,총차입금/OCF,부채상환능력,calculated,524,0,1223,-13262.59946949602,-109.5812625238826,0.27224300491341047,85.32504866756798,35048.13377556661
R106,총부채/OCF,부채상환능력,calculated,524,0,1223,-18426.969496021222,-186.59364856910875,2.952125812772308,171.45142003372163,46034.0001381979
R107,단기차입금/OCF,부채상환능력,calculated,524,0,1223,-2079.572346179851,-51.68100945999083,0.0,42.21833328070933,27280.265339966834
R108,단기금융부채/EBITDA,부채상환능력,calculated,525,1,943,-2319.928528886242,-35.345032510958845,0.3679778900856757,55.376710397729404,749.7433804362738
R109,단기금융부채/현금성자산,부채상환능력,calculated,524,0,0,0.0,0.0,1.0051053985168885,377.68075855883677,462316.3307086614
R110,현금성자산/총차입금,부채상환능력,calculated,1334,1334,0,8.53987192908727e-07,0.0013805073185034998,0.34559775546822136,339.51964340128217,40226.543
R111,현금성자산/단기차입금,부채상환능력,calculated,1873,1349,0,2.163021147159458e-06,0.0020416687349778997,0.599623783488245,399.67641526883375,21581.79
R112,내부자금조달률,부채상환능력,calculated,565,41,0,-11010.9716,-200.4585613842121,1.4938773850165084,439.9285754392662,38948.14102247469
R114,순차입금상환가능기간,부채상환능력,calculated,525,1,943,-2372.620408973595,-57.62454474093764,0.04847043729416778,78.05576664400671,876.4802297903121
R115,유동비율,유동성,calculated,524,0,0,0.010243347980024365,0.23442088883471107,1.6165157320699737,19.47357259684313,20880.195187165777
R116,당좌비율,유동성,calculated,524,0,0,0.010243347980024365,0.1810961150466636,1.272140569849562,18.46091276181551,20880.195187165777
R117,현금비율,유동성,calculated,524,0,0,1.4084014328233356e-06,0.0012933653424656983,0.2631043770891233,7.170247310019414,3750.3342245989306
R118,순운전자본비율,유동성,calculated,524,0,0,-6.0338722065926325,-0.4445553761959634,0.1714604575239353,0.756739592094916,0.9999521077273926
R119,순운전자본/매출액,유동성,calculated,526,2,49,-529.3597098976562,-1.7609773960228519,0.2089473302904486,4.115144021562931,135.6611418482571
R120,유동자산/총자산,유동성,calculated,524,0,0,0.0017356508480177145,0.06423020877448406,0.4677497467328099,0.903431197512766,1.0
R121,유동부채/총자산,유동성,calculated,524,0,0,4.7892272607425635e-05,0.018523110492714184,0.27284781249852064,0.789092062893813,6.322056536453994
R122,유동부채/매출액,유동성,calculated,526,2,49,0.013083817151454263,0.07352296776647664,0.34002000019298095,3.944883345108509,621.1792782521572
R123,유동자산/매출액,유동성,calculated,526,2,49,0.023826957680472174,0.12916693649035338,0.5933038261287977,5.75018904007968,138.86601174515653
R124,현금성자산/총자산,유동성,calculated,524,0,0,2.386420090380813e-07,0.0004792180141634481,0.06703186498306993,0.4839532468496629,0.8177112439854456
R125,현금성자산/매출액,유동성,calculated,526,2,49,5.746422761336222e-06,0.0005000271188052044,0.09277859515628069,2.342319426076329,91.43379854527126
R126,현금성자산/총부채,유동성,calculated,524,0,0,6.89314007834363e-07,0.000949731881393047,0.19194825713811983,4.7811762083153315,46.426736705673385
R127,현금성자산/유동부채,유동성,calculated,524,0,0,1.4084014328233356e-06,0.0012933653424656983,0.2631043770891233,7.170247310019414,3750.3342245989306
R128,현금성자산/단기금융부채,유동성,calculated,1471,1471,0,2.163021147159458e-06,0.0019075476792243392,0.5308161432597743,524.4077459279433,35451.2426
R130,즉시가용유동성/단기금융부채,유동성,calculated,1471,1471,0,2.125492463785259e-05,0.004344571210620964,0.7333264090604402,897.2670074511184,176627.0554
R131,OCF/유동부채,유동성,calculated,524,0,0,-24.483182173519015,-1.2434601759951558,0.15043697797447905,3.0187969223818856,49.08166108847426
R132,OCF/단기금융부채,유동성,calculated,1471,1471,0,-805.792934347478,-16.491943688542744,0.274893001818681,254.58404774411306,62278.8719
R133,FCF/유동부채,유동성,calculated,524,0,0,-134.42584175608272,-2.2305413122022126,0.043575523696181895,2.2990183202394703,43.02493740179461
R134,재고자산/유동자산,유동성,calculated,524,0,0,0.0,0.0,0.16565397509762478,0.6465555332468916,0.8375847327369162
R135,매출채권/유동자산,유동성,calculated,524,0,0,0.0,0.017881091806998827,0.31863667581126753,0.8778688110582538,0.9653504891193433
R136,매입채무/유동부채,유동성,calculated,524,0,0,0.0,0.033857468937168234,0.4316105812529617,0.9813308681250764,1.0
R137,재고자산/매출액,유동성,calculated,526,2,49,0.0,0.0,0.0964642802690982,0.7689264553519635,3.9577721461603907
R138,매출채권/매출액,유동성,calculated,526,2,49,0.001879647584738308,0.017065738231178195,0.18309354349187879,1.1787460726401697,9.770523148429739
R139,매입채무/매출액,유동성,calculated,526,2,49,0.0020125079736800825,0.024002265270012726,0.13557557214131274,1.204900765555921,17.77605831811864
R140,순영업운전자본/매출액,유동성,calculated,241,2,49,-14.18967473776247,-0.411932276505947,0.1412059719105267,1.0089582265953048,6.234734077088822
R141,영업운전자본/총자산,유동성,calculated,524,0,0,-1.1606609081141988,-0.19460724699735046,0.10886246135215641,0.48948405538987,0.8711684068582647
R143,총자산회전율,활동성,calculated,608,0,0,0.0,0.037180162838313435,0.7626352490020765,3.036522390050025,10.31817267532997
R145,비유동자산회전율,활동성,calculated,608,0,0,0.0,0.04447992881510029,1.5267767754320836,12.76363348363133,162.5393768764598
R146,유동자산회전율,활동성,calculated,608,0,0,0.0,0.16731460230663614,1.6906290604145795,7.335621811841524,16.814321702106795
R147,자기자본회전율,활동성,calculated,608,0,21,-274.1357800348788,0.026841190367797058,1.2768877237012377,10.420774255997214,389.13183215493393
R148,타인자본회전율,활동성,calculated,608,0,0,0.0,0.16364976723499433,2.121728513468769,10.409203695965337,21.08106365295146
R150,운전자본회전율,활동성,calculated,608,0,991,-69598.67538310136,-123.25529356885885,2.2594959735145546,125.47300703760057,4264.509626436781
R152,재고자산회전율,활동성,calculated,968,360,0,0.0,0.0,7.153452548629925,1122.6923572666574,4194449.408450704
R153,매출채권회전율,활동성,calculated,608,0,0,0.0,0.766599398757497,5.456675376595069,47.71914869514223,194.33630390891622
R154,매입채무회전율,활동성,calculated,608,0,0,0.0,0.0,5.538734700581406,25.920523312301054,154.36337670566363
R155,순영업운전자본회전율,활동성,calculated,524,524,548,-6768.905736260547,-150.86332362387995,4.843445964675537,245.50206758021488,28843.81272141707
R156,현금성자산회전율,활동성,calculated,608,0,0,0.0,0.3745007496099699,10.150591843970544,848.2943894278525,18575.513246202754
R157,자본금회전율,활동성,calculated,608,0,0,0.0,0.308954922143329,12.076076411946357,167.91269361533622,1148.21223392
R158,매출채권회전일수,활동성,calculated,609,2,49,0.005145718941267359,0.020952850152704972,0.1832518182985907,1.2762072042608035,77.23912714168401
R159,재고자산회전일수,활동성,calculated,817,212,0,0.0,0.0,0.12805251324839262,0.9956709794613728,189.70215399325383
R160,매입채무회전일수,활동성,calculated,817,212,0,0.006478220555558174,0.03821404933174246,0.1746993160533847,1.6937667874965519,2348.5345243843553
R163,재고보유기간,활동성,calculated,817,212,0,0.0,0.0,0.12805251324839262,0.9956709794613728,189.70215399325383
R164,매출채권회수기간,활동성,calculated,609,2,49,0.005145718941267359,0.020952850152704972,0.1832518182985907,1.2762072042608035,77.23912714168401
R165,매입채무지급기간,활동성,calculated,817,212,0,0.006478220555558174,0.03821404933174246,0.1746993160533847,1.6937667874965519,2348.5345243843553
R169,매출액증가율,성장성,calculated,378,1,43,-1.9757554462403373,-0.7084240625115872,0.041148278823644704,2.0429392466729572,281.39407251495555
R170,매출총이익증가율,성장성,calculated,739,1,130,-41.82461755136965,-1.703309090552945,0.0446442910793537,7.01233498074041,612.2468073737643
R171,영업이익증가율,성장성,calculated,1541,0,933,-182.19638860192836,-14.457507589757236,-0.06168860881612084,10.031370445581187,165.79036588304135
R172,정상영업이익증가율,성장성,calculated,1541,0,933,-182.19638860192836,-14.457507589757236,-0.06168860881612084,10.031370445581187,165.79036588304135
R173,EBIT증가율,성장성,calculated,1541,0,933,-182.19638860192836,-14.457507589757236,-0.06168860881612084,10.031370445581187,165.79036588304135
R174,EBITDA증가율,성장성,calculated,1457,1,848,-476.03276079679523,-8.285759042438992,-0.037637792422090276,8.174500068020846,136.3686293201698
R175,세전이익증가율,성장성,calculated,1770,0,1162,-628.9769186748903,-19.611754826286337,-0.09469632777630088,13.137082296505676,1033.2691846522782
R176,순이익증가율,성장성,calculated,1770,0,1162,-431.5793699299922,-19.59849329365231,-0.09348808438089343,20.79443458799596,2098.8172790466733
R177,총포괄이익증가율,성장성,calculated,1822,11,1203,-1455.7715451300357,-26.096600675686727,-0.12538598811647308,21.534739700451073,807.8211135501896
R178,OCF증가율,성장성,calculated,1802,0,1194,-157.69265075521733,-10.708308270336671,-0.19796718596924964,30.23699777695432,5119.185323383084
R179,FCF증가율,성장성,calculated,2490,0,1882,-1065.6626801550094,-30.592299927776764,-0.431715858920365,32.941891808709535,1285.4992090579858
R180,총자산증가율,성장성,calculated,608,0,0,-0.8777344988016085,-0.4236649941689434,0.049983803427520734,1.3205498888256602,10.750954926325877
R181,유동자산증가율,성장성,calculated,608,0,0,-0.9961297723906856,-0.6687508852885768,0.046136415007080045,1.8953633680189865,25.026586763575544
R182,비유동자산증가율,성장성,calculated,608,0,0,-0.9447968439256763,-0.5116899183853658,0.046602824194460005,2.2424216908227845,158.92161617382135
R184,자기자본증가율,성장성,calculated,626,0,18,-6.7808580382363335,-0.7691574468146303,0.05303333021919744,2.253855281895769,37.550490808586346
R185,이익잉여금증가율,성장성,calculated,1348,0,740,-1804.3873422007766,-4.213945083012498,0.06954497378831717,4.246035197681418,86.57028750076626
R186,총차입금증가율,성장성,calculated,1406,1406,0,-1.0,-1.0,-0.0018036204246971639,21.735712539433443,5041.8844
R187,순차입금증가율,성장성,calculated,2411,608,1803,-322.21692939022205,-13.95325217549234,-0.03349063197555605,14.151823504364403,218.81987803942624
R188,CAPEX증가율,성장성,calculated,642,34,0,-1.0,-0.9897320633819835,-0.014141876257710207,38.34230539058409,2715.7190684133916
R196,매출-자산 성장괴리,성장성,calculated,2006,0,1398,-1108.644777489476,-34.36890124829287,-0.37080867856332067,61.391780843778626,3787.584775009116
R197,영업이익-매출 성장괴리,성장성,calculated,2890,0,1823,-9916.276640732814,-314.4107448573498,0.0500659789138843,179.10692312510116,3852.2085751600957
R198,EBITDA-매출 성장괴리,성장성,calculated,2843,0,1823,-2529.962832074441,-207.20204422202346,0.06846845584915852,156.71846657541187,8177.451855231173
R199,차입금-매출 성장괴리,성장성,calculated,2858,0,1823,-830.8872883219706,-89.48351566506616,-1.0,307.1047312177878,9325.770693078704
R200,순차입금-EBITDA 성장괴리,성장성,calculated,4004,0,1830,-1007.8795468513601,-93.50546511381282,-1.114762313647686,106.15499713600529,569.7145942883722
R201,자기자본-총자산 성장괴리,성장성,calculated,2015,0,1398,-6252.640205356816,-10.96419788459634,-0.10049672471548993,31.36251692989953,475.93974887573836
R202,OCF-매출 성장괴리,성장성,calculated,3043,0,1823,-4425.451801363161,-328.80387187179565,-1.2751330424150265,538.0627860803023,7960.720244888144
R203,FCF-매출 성장괴리,성장성,calculated,3457,0,1823,-91993.14045861721,-738.7075680478085,-2.7687939708191323,706.1622741488654,206575.68136321037
R204,투자부담률,성장성,calculated,526,2,49,0.0,2.766701182436984e-05,0.02239508003202407,0.5707591792778447,28.394848931371865
R205,CAPEX/감가상각비,성장성,calculated,615,91,0,0.0,0.006329622609622252,5.461350586198627,279.6578374448693,5686.932854786214
R210,Altman 운전자본/총자산,기타/복합,calculated,524,0,0,-6.0338722065926325,-0.4445553761959634,0.1714604575239353,0.756739592094916,0.9999521077273926
R211,Altman 이익잉여금/총자산,기타/복합,calculated,524,0,0,-46.38391016144217,-1.808320827397141,0.27720898578345327,0.9708108439903155,6.056755482163729
R212,Altman EBIT/총자산,기타/복합,calculated,524,0,0,-1.323922494258613,-0.2468684228244105,0.03141127333469304,0.211219589493042,0.5604369310262475
R213,Altman 매출액/총자산,기타/복합,calculated,524,0,0,0.0,0.037594265382569415,0.7427088145225116,2.9246220182478257,8.947914290555397
R214,OCF/총자산,기타/복합,calculated,524,0,0,-1.1091723126637791,-0.2402404334397744,0.042074896666871864,0.26434833099900196,0.6070952674643643
R215,FCF/총자산,기타/복합,calculated,524,0,0,-1.6807942186799907,-0.3013957323426321,0.012343599065541576,0.236895758534587,0.47289450450665865
R216,OCF/매출액,기타/복합,calculated,526,2,49,-122.61896295587606,-1.0408982458539948,0.05398479782583193,0.5776083768360667,63.58184369913799
R217,FCF/매출액,기타/복합,calculated,526,2,49,-123.04498765550214,-1.4375884549342108,0.015455398039356031,0.5183571012297016,35.18699476776613
R218,CAPEX/OCF,기타/복합,calculated,524,0,1223,-1032.2609870573176,-15.693042867000496,0.12383698419401916,11.038629013633829,2857.5375898286347
R219,CAPEX/EBITDA,기타/복합,calculated,525,1,943,-159.02432312345024,-10.314526763330331,0.20727390833041667,10.415138568483307,490.05070515282887
R220,OCF/순이익 비율,CF_품질,calculated,524,0,1268,-1163.9644856822908,-24.609017431449463,0.8548087277712133,23.047356791830794,181.89671074563842
R221,OCF마진,CF_품질,calculated,526,2,49,-122.61896295587606,-1.0408982458539948,0.05398479782583193,0.5776083768360667,63.58184369913799
R225,OCF이자보상배율,CF_품질,calculated,608,84,1,-737754.0,-77.21814374498749,2.547981862421602,1303.097962705088,1308659.5
R226,이익잉여금/총자산,자본효율성,calculated,524,0,0,-46.38391016144217,-1.808320827397141,0.27720898578345327,0.9708108439903155,6.056755482163729
R227,이익잉여금/자본,자본효율성,calculated,524,0,28,-299.6783878279678,-5.104974906264353,0.50978129575152,1.6454204153470804,187.92770497882222
R228,OCF/총자산(평균),자본효율성,calculated,524,0,0,-1.1091723126637791,-0.2402404334397744,0.042074896666871864,0.26434833099900196,0.6070952674643643
R236,매입채무회전율,활동성,calculated,526,2,0,0.0,0.0,5.545894229080517,28.06023387154812,479.36690677538644
R237,매출채권회전율,활동성,calculated,525,1,0,0.0,0.8309703030016939,5.459608402825716,58.5885082213808,532.01462237892
R238,재고자산회전율,활동성,calculated,934,410,0,0.0,0.0,7.131591131722693,1143.0922856134914,2300273.9295774647
R239,OCF성장률,성장성,calculated,1747,0,1223,1.0,1.0,1.0,1.0,1.0
R240,총자산성장률,성장성,calculated,524,0,0,1.0,1.0,1.0,1.0,1.0
R241,이익잉여금증가율,성장성,calculated,1316,1,791,0.0,0.0,0.0,0.0,0.0
